dish_name,ingredient_name
"oeufs au plat",œufs
"Aubergines farcies à la viande",aubergines
"Aubergines farcies à la viande","viande hachée"
"Aubergines farcies à la viande",oignons
"Avocat mayo",avocat
"Avocat mayo",mayonnaise
"brocolis vapeur/poele",brocolis
"Burger maison, frites au four","pain à burger"
"Burger maison, frites au four","steak haché"
"Burger maison, frites au four",fromage
"Burger maison, frites au four","pommes de terre"
"Cabillaud à la crème, courgettes sautées",cabillaud
"Cabillaud à la crème, courgettes sautées","crème fraîche"
"Cabillaud à la crème, courgettes sautées",courgettes
"calamar/sèche au four","calamars ou seiches"
"courgette vapeur/poele",courgettes
"Croque-monsieur, salade","pain de mie"
"Croque-monsieur, salade",jambon
"Croque-monsieur, salade","fromage râpé"
"Croque-monsieur, salade","salade verte"
"Endives au jambon",endives
"Endives au jambon",jambon
"Endives au jambon",béchamel
"Endives au jambon","fromage râpé"
"Épinards à la crème",épinards
"Épinards à la crème","crème fraîche"
"Escalope de dinde, sauce moutarde + salade","escalope de dinde"
"Escalope de dinde, sauce moutarde + salade",moutarde
"Escalope de dinde, sauce moutarde + salade","crème fraîche"
"Escalope de dinde, sauce moutarde + salade","salade verte"
"Flammekueche /tarte","pâte à flammekueche"
"Flammekueche /tarte","crème fraîche"
"Flammekueche /tarte",oignons
"Flammekueche /tarte",lardons
"Fondue de poireaux",poireaux
"Fondue de poireaux","crème fraîche"
"Gratin de chou-fleur au fromage",chou-fleur
"Gratin de chou-fleur au fromage","fromage râpé"
"Gratin de chou-fleur au fromage","crème fraîche"
"Hachis parmentier de pomme de terre ou patate douce","pommes de terre"
"Hachis parmentier de pomme de terre ou patate douce","viande hachée"
"Hachis parmentier de pomme de terre ou patate douce","fromage râpé"
"lasagne d'aubergines à la viande de bœuf haché",aubergines
"lasagne d'aubergines à la viande de bœuf haché","viande hachée"
"lasagne d'aubergines à la viande de bœuf haché","pâtes à lasagne"
"lasagne d'aubergines à la viande de bœuf haché","fromage râpé"
"lasagne d'aubergines à la viande de bœuf haché","sauce tomate"
"nem asiatique",nems
"œuf brouillés",œufs
"œuf dur",œufs
"Œufs cocotte, épinards et jambon",œufs
"Œufs cocotte, épinards et jambon",épinards
"Œufs cocotte, épinards et jambon",jambon
"Œufs cocotte, épinards et jambon","crème fraîche"
"Omelette au fromage",œufs
"Omelette au fromage","fromage râpé"
"Omelette lardons, choucroute - comté",œufs
"Omelette lardons, choucroute - comté",lardons
"Omelette lardons, choucroute - comté",choucroute
"Omelette lardons, choucroute - comté",comté
"Pâtes bolognaise",pâtes
"Pâtes bolognaise","viande hachée"
"Pâtes bolognaise","sauce tomate"
"Pâtes bolognaise",oignons
"Pâtes carbonara",pâtes
"Pâtes carbonara",lardons
"Pâtes carbonara",œufs
"Pâtes carbonara",parmesan
"Poêlée de courgettes et champignons",courgettes
"Poêlée de courgettes et champignons",champignons
"Poêlée de crevettes à l'ail et persil",crevettes
"Poêlée de crevettes à l'ail et persil",ail
"Poêlée de crevettes à l'ail et persil",persil
"poêlée de haricots verts","haricots verts"
"poisson blanc","poisson blanc"
"Poisson pané, purée maison","poisson pané"
"Poisson pané, purée maison","pommes de terre"
"Poivrons farcis à la viande (riz de chou-fleur)",poivrons
"Poivrons farcis à la viande (riz de chou-fleur)","viande hachée"
"Poivrons farcis à la viande (riz de chou-fleur)",chou-fleur
"Poulet aux champignons et à la crème",poulet
"Poulet aux champignons et à la crème",champignons
"Poulet aux champignons et à la crème","crème fraîche"
"Poulet mariné au citron",poulet
"Poulet mariné au citron",citron
"Ratatouille, riz ou semoule",aubergines
"Ratatouille, riz ou semoule",courgettes
"Ratatouille, riz ou semoule",poivrons
"Ratatouille, riz ou semoule",tomates
"Ratatouille, riz ou semoule","riz ou semoule"
"ravioli pate",ravioli
"Riz cantonais maison",riz
"Riz cantonais maison",œufs
"Riz cantonais maison",jambon
"Riz cantonais maison","petits pois"
"Riz cantonais maison",carottes
"Rôti de bœuf, gratin de légumes","rôti de bœuf"
"Rôti de bœuf, gratin de légumes","pommes de terre"
"Rôti de bœuf, gratin de légumes",courgettes
"Rôti de bœuf, gratin de légumes","crème fraîche"
"roti de porc","rôti de porc"
"Salade César sans croûtons",poulet
"Salade César sans croûtons","salade romaine"
