name,type,low_carb,dessert_suggestion,notes
"oeufs au plat",Œufs,1,"Yaourt nature",
"Aubergines farcies à la viande",Viande,1,"fruits frais",
"Avocat mayo",Salade,1,gateau,
"brocolis vapeur/poele",Salade,1,"Yaourt soja",
"Burger maison, frites au four",Viande,0,"crème dessert",
"Cabillaud à la crème, courgettes sautées",Poisson,1,"Yaourt fruit",
"calamar/sèche au four",Légumes,1,gateau,
"courgette vapeur/poele",Viande,1,"crème aux œufs",
"Croque-monsieur, salade",Viande,0,"Yaourt nature",
"Endives au jambon",Viande,0,"Yaourt nature",
"Épinards à la crème",Viande,1,"Yaourt nature",
"Escalope de dinde, sauce moutarde + salade",Viande,1,"Yaourt nature",
"Flammekueche /tarte","Plat complet",0,"Yaourt nature",
"Fondue de poireaux",Poisson,1,"Yaourt nature",
"Gratin de chou-fleur au fromage",Légumes,1,"Yaourt nature",
"Hachis parmentier de pomme de terre ou patate douce",Viande,0,"Yaourt nature",
"lasagne d'aubergines à la viande de bœuf haché",Viande,1,"Yaourt nature",
"nem asiatique",Poisson,1,"Yaourt nature",
"œuf brouillés","Plat complet",1,"Yaourt nature",
"œuf dur",Œufs,1,"Yaourt nature",
"Œufs cocotte, épinards et jambon",Œufs,1,"Yaourt nature",
"Omelette au fromage",Œufs,1,"Yaourt nature",
"Omelette lardons, choucroute - comté",Œufs,1,"Yaourt nature",
"Pâtes bolognaise",Pâtes,0,"Yaourt nature",
"Pâtes carbonara",Pâtes,0,"Yaourt nature",
"Poêlée de courgettes et champignons",Légumes,1,"Yaourt nature",
"Poêlée de crevettes à l'ail et persil",Poisson,1,"Yaourt nature",
"poêlée de haricots verts",Viande,0,"Yaourt nature",
"poisson blanc",Poisson,1,"Yaourt nature",
"Poisson pané, purée maison",Poisson,0,"Yaourt nature",
"Poivrons farcis à la viande (riz de chou-fleur)",Viande,1,"Yaourt nature",
"Poulet aux champignons et à la crème",Viande,1,"Yaourt nature",
"Poulet mariné au citron",Viande,1,"Yaourt nature",
"Ratatouille, riz ou semoule",Légumes,0,"Yaourt nature",
"ravioli pate",Viande,1,"Yaourt nature",
"Riz cantonais maison","Plat complet",0,"Yaourt nature",
"Rôti de bœuf, gratin de légumes",Viande,0,"Yaourt nature",
"roti de porc",,,"Yaourt nature",
"Salade César sans croûtons",Salade,1,"Yaourt nature",
"Salade de concombres",Salade,1,"crème dessert",
"Salade grecque tomate, cocombre, poivron et féta",Salade,1,"Yaourt soja",
"salade verte",Légumes,,"Yaourt nature",
"Saumon grillé",Poisson,1,"Yaourt nature",
"choux fleurs et champignon gratiné",Légumes,,"Yaourt nature",
"saumon/truite fumée",Poisson,,"Yaourt nature",
"Seiches grillées, légumes verts",Poisson,1,"Yaourt nature",
"steak haché",Viande,,"Yaourt nature",
"Tartare de saumon, avocat",Poisson,1,"Yaourt nature",
"tofu poelé",Viande,,"Yaourt nature",
"Tomates farcies",Légumes,1,"Yaourt nature",
"Tomates mozzarella",Salade,1,"Yaourt fruit",
lentilles,"Plat complet",,"Yaourt nature",
ratatouille,"Plat complet",,"Yaourt nature",
"pipérade (poivron et tomages)","Plat complet",,"Yaourt nature",
sandwich,"Plat complet",,"Yaourt nature",
taboulé,"Plat complet",,"Yaourt nature",
"nouilles chinoises minute","Plat complet",,"Yaourt nature",
Melon,Légumes,,"Yaourt nature",
gaspacho,Légumes,,"Yaourt nature",
"soupe froide courgette menthe avec philadelphia",Légumes,,"Yaourt nature",
"Chachouka (poivron, tomates et œufs)","Plat complet",,"Yaourt nature",
"gyoza vapeur","Plat complet",,"Yaourt nature",
"riz nature blanc/basmati",Pâtes,,"Yaourt nature",
"Aubergine fondues à la tomate","Plat complet",,"Yaourt nature",
"Lasagne d'aubergine à la viande hachée","Plat complet",,"Yaourt nature",
"pomme de terrre en purée",Légumes,,"Yaourt nature",
"purée de courgette",Légumes,,"Yaourt nature",
"purée de brocoli",Légumes,,"Yaourt nature",
"légumes variés cuits",Légumes,,"Yaourt nature",
"jambon blanc",,,"Yaourt nature",
